Team	TGames	TWins	TWinPerc	Tdraws	TDrawPerc	Tlosses	TLossPerc	HGames	HTWins	HWinPerc	HDraws	HDrawPerc	HGLosses	HLossPerc	AGames	ATWins	AWinPerc	ADraws	ADrawPerc	AGLosses	ALossPerc
Man United	1173	711	60.61	254	21.65	208	17.73	586	408	69.62	109	18.6	69	11.77	587	303	51.62	145	24.7	139	23.68
Arsenal	1172	654	55.8	279	23.81	239	20.39	586	387	66.04	127	21.67	72	12.29	586	267	45.56	152	25.94	167	28.5
Liverpool	1169	629	53.81	289	24.72	251	21.47	585	374	63.93	141	24.1	70	11.97	584	255	43.66	148	25.34	181	30.99
Chelsea	1170	628	53.68	282	24.1	260	22.22	585	357	61.03	146	24.96	82	14.02	585	271	46.32	136	23.25	178	30.43
Tottenham	1170	519	44.36	278	23.76	373	31.88	586	322	54.95	127	21.67	137	23.38	584	197	33.73	151	25.86	236	40.41
Man City	982	509	51.83	205	20.88	268	27.29	491	301	61.3	92	18.74	98	19.96	491	208	42.36	113	23.01	170	34.62
Everton	1172	420	35.84	327	27.9	425	36.26	586	272	46.42	151	25.77	163	27.82	586	148	25.26	176	30.03	262	44.71
Newcastle	1096	413	37.68	281	25.64	402	36.68	547	271	49.54	136	24.86	140	25.59	549	142	25.87	145	26.41	262	47.72
West Ham	1055	353	33.46	264	25.02	438	41.52	526	227	43.16	133	25.29	166	31.56	529	126	23.82	131	24.76	272	51.42
Aston Villa	1057	368	34.82	296	28	393	37.18	530	217	40.94	150	28.3	163	30.75	527	151	28.65	146	27.7	230	43.64
Southampton	866	260	30.02	233	26.91	373	43.07	434	166	38.25	121	27.88	147	33.87	432	94	21.76	112	25.93	226	52.31
Blackburn	640	236	36.88	170	26.56	234	36.56	321	153	47.66	79	24.61	89	27.73	319	83	26.02	91	28.53	145	45.45
Fulham	646	190	29.41	169	26.16	287	44.43	323	137	42.41	70	21.67	116	35.91	323	53	16.41	99	30.65	171	52.94
Leicester	643	216	33.59	165	25.66	262	40.75	321	128	39.88	87	27.1	106	33.02	322	88	27.33	78	24.22	156	48.45
Leeds	525	201	38.29	132	25.14	192	36.57	261	117	44.83	68	26.05	76	29.12	264	84	31.82	64	24.24	116	43.94
